Answer,Article File,Article Title,Difficulty From Answerer,Difficulty From Questioner,Question
no,S08_set2_a8,Canada,easy,easy,Is Canada's official language Zulu?
,S08_set2_a8,Canada,,easy,Is Canada's official language Zulu?
Chinese.,S08_set2_a8,Canada,medium,medium,What is one significant non-official language?
Chinese,S08_set2_a8,Canada,medium,medium,What is one significant non-official language?
,S08_set2_a8,Canada,,medium,What is one significant non-official language?
Quebec City,S08_set2_a8,Canada,medium,medium,"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?"
,S08_set2_a8,Canada,,medium,"In addition to Port Royal, where else did Samuel de Champlain establish a S08_settlement?"
The British North America Act.,S08_set2_a8,Canada,hard,medium,What was the Consitution Act formerly called?
British North America Act,S08_set2_a8,Canada,medium,medium,What was the Consitution Act formerly called?
,S08_set2_a8,Canada,,medium,What was the Consitution Act formerly called?
France and Britain.,S08_set2_a8,Canada,hard,hard,Which countries established colonies in Canada?
Fance and Britain,S08_set2_a8,Canada,hard,hard,Which countries established colonies in Canada?
,S08_set2_a8,Canada,,hard,Which countries established colonies in Canada?
"During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",S08_set2_a8,Canada,medium,hard,How has Canada helped UN peacekeeping efforts?
"Canada has played a leading role in UN peacekeeping efforts. During the Suez Crisis of 1956, Lester B. Pearson eased tensions by proposing the inception of the United Nations Peacekeeping Force. Canada has since served in 50 peacekeeping missions, including every UN peacekeeping effort until 1989",S08_set2_a8,Canada,hard,hard,How has Canada helped UN peacekeeping efforts?
,S08_set2_a8,Canada,,hard,How has Canada helped UN peacekeeping efforts?
28%,S08_set2_a8,Canada,too hard,hard,What percentage of the population don't speak English or French at home?
1.5%,S08_set2_a8,Canada,hard,hard,What percentage of the population don't speak English or French at home?
,S08_set2_a8,Canada,,hard,What percentage of the population don't speak English or French at home?
Yes.,S08_set2_a8,Canada,easy,easy,Is Canada bilingual?
"Yes, it is.",S08_set2_a8,Canada,easy,easy,Is Canada bilingual?
Yes,S08_set2_a8,Canada,easy,easy,Did Canadian soldiers win the Battle of Vimy Ridge in 1917?
"No, it did not.",S08_set2_a8,Canada,hard,easy,Did Canadian soldiers win the Battle of Vimy Ridge in 1917?
No.,S08_set2_a8,Canada,easy,easy,Is an official language of Canada German?
"No, it is not.",S08_set2_a8,Canada,easy,easy,Is an official language of Canada German?
A federation now comprising ten provinces and three territories,S08_set2_a8,Canada,medium,medium,How many provinces and territories does Canada have?
Ten provinces and three territories,S08_set2_a8,Canada,medium,medium,How many provinces and territories does Canada have?
"While as of October 2007, Canada's national unemployment rate of 5.9% is its lowest in 33 years. Provincial unemployment rates vary from a low of 3.6% in Alberta to a high of 14.6% in Newfoundland and Labrador.",S08_set2_a8,Canada,medium,medium,What is Canada's national unemployment rate?
"In October 2007, Canada's national unemployment rate is 5.9%.",S08_set2_a8,Canada,medium,medium,What is Canada's national unemployment rate?
The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,S08_set2_a8,Canada,medium,medium,Where is the most densely populated part of Canada?
The most densely populated part of the country is the Quebec City-Windsor Corridor along the Great Lakes and Saint Lawrence River in the southeast.,S08_set2_a8,Canada,medium,medium,Where is the most densely populated part of Canada?
"Canada is the second largest country in the world, after Russia, and largest on the continent.",S08_set2_a8,Canada,medium,hard,What is the largest country in the world?
Russia.,S08_set2_a8,Canada,hard,hard,What is the largest country in the world?
"According to 2001 census, 77.1% of Canadians identified as being Christians; of this, Catholics make up the largest group (43.6% of Canadians). The largest Protestant denomination is the United Church of Canada; about 16.5% of Canadians declare no religious affiliation, and the remaining 6.3% were affiliated with religions other than Christianity, of which the largest is Islam numbering 1.9%, followed by Judaism: 1.1%.",S08_set2_a8,Canada,hard,hard,What is the largest religious group in Canada?
Christian,S08_set2_a8,Canada,hard,hard,What is the largest religious group in Canada?
1944.,S08_set2_a8,Canada,hard,hard,When did Canada have one of the largest armed forces in the world?
World War II.,S08_set2_a8,Canada,hard,hard,When did Canada have one of the largest armed forces in the world?
The lands,S08_set2_a8,Canada,easy,,What have been inhabited for millennia by aboriginal peoples?
1545,S08_set2_a8,Canada,easy,,European books and maps began referring to this region as Canada in what year?
The fur trade,S08_set2_a8,Canada,easy,,What was Canada's most important industry until the 1800s?
yes,S08_set2_a8,Canada,easy,,Is it true that it angered many residents of the thirteen colonies?
Canada maintains full relations with both.,S08_set2_a8,Canada,easy,,How do cuba and declining participation relate?
yes,S08_set2_a8,Canada,easy,,Is it true that provinces have a large degree of autonomy?
The Maple Leaf Flag,S08_set2_a8,Canada,medium,,What did Canada adopt in 1965?
The first Canadian Army units in WW II,S08_set2_a8,Canada,easy,,What arrived in Britain?
yes,S08_set2_a8,Canada,easy,,Are Canada 's two official languages English and French ?
yes,S08_set2_a8,Canada,easy,,Are Canada 's official national sports ice hockey ( winter ) and lacrosse ( summer ) ?
yes,S08_set2_a8,Canada,easy,,Is Canada a geographically vast and ethnically diverse country ?
no!,S08_set2_a8,Canada,easy,,Did Mainland Nova Scotia not come under British rule with the Treaty of Utrecht    (: ; ?
yes,S08_set2_a8,Canada,easy,,"Did Cartier not use the word ` Canada ' to refer to not only that village , but the entire area subject to Donnacona , Chief at Stadacona ?"
no,S08_set2_a8,Canada,easy,,Did continental European immigrants not S08_settle the prairies ?
yes,S08_set2_a8,Canada,easy,,Is it the world 's second largest country by total area?
"Canada was formed as a federal, semi-autonomous polity",S08_set2_a8,Canada,easy,,What happened in 1867?
Some are,S08_set1_a10,duck,medium,easy,Are ducks in the Arctic Northern Hemisphere migratory?
yes,S08_set1_a10,duck,easy,easy,Are ducks in the Arctic Northern Hemisphere migratory?
Yes,S08_set1_a10,duck,medium,easy,Is a drake a male?
yes,S08_set1_a10,duck,easy,easy,Is a drake a male?
No,S08_set1_a10,duck,medium,easy,"Do all ducks ""quack""?"
no,S08_set1_a10,duck,easy,easy,"Do all ducks ""quack""?"
the smew,S08_set1_a10,duck,medium,medium,What is the name of a specialized species of duck adapted to catch large fish?
The duck,S08_set1_a10,duck,medium,medium,What animal attracts the most humor and silliness?
the duck,S08_set1_a10,duck,medium,medium,What animal attracts the most humor and silliness?
Meat,S08_set1_a10,duck,medium,medium,What is an economic use of a duck?
being farmed for their meat,S08_set1_a10,duck,medium,medium,What is an economic use of a duck?
A silly cartoon character,S08_set1_a10,duck,hard,hard,Who is Daffy Duck?
a silly cartoon character,S08_set1_a10,duck,medium,hard,Who is Daffy Duck?
They are heavier,S08_set1_a10,duck,hard,hard,What makes it more difficult for a diving duck to fly?
they are heavier,S08_set1_a10,duck,hard,hard,What makes it more difficult for a diving duck to fly?
"Meat, eggs, and feathers",S08_set1_a10,duck,too hard,hard,What are the reasons for hunting wild ducks?
yes,S08_set1_a10,duck,easy,easy,Do ducks forage underwater?
Diving ducks and sea ducks forage underwater,S08_set1_a10,duck,hard,easy,Do ducks forage underwater?
no,S08_set1_a10,duck,medium,easy,"Do all ducks ""quack""?"
No,S08_set1_a10,duck,easy,easy,"Do all ducks ""quack""?"
yes,S08_set1_a10,duck,easy,easy,Is foie gras often made from ducks?
Yes,S08_set1_a10,duck,easy,easy,Is foie gras often made from ducks?
"They are farmed for their meat, eggs and feathers. They are also kept and bred by aviculturists and often displayed in zoos.",S08_set1_a10,duck,medium,medium,What economic uses to ducks have?
"They can be farmed for meat, eggs, and feathers",S08_set1_a10,duck,hard,medium,What economic uses to ducks have?
Dabbling ducks,S08_set1_a10,duck,easy,medium,What kind of ducks feed on land?
Dabbling ducks feed on land,S08_set1_a10,duck,medium,medium,What kind of ducks feed on land?
"loons or divers, grebes, gallinules, and coots",S08_set1_a10,duck,easy,medium,What unrelated water birds are ducks sometimes confused with?
"loons or divers, grebes, gallinules, and coots",S08_set1_a10,duck,medium,medium,What unrelated water birds are ducks sometimes confused with?
It is the common name for a number of species in the Anatidae family of birds.,S08_set1_a10,duck,hard,hard,What does the word duck mean?
to bend down low as if to get under something,S08_set1_a10,duck,hard,hard,What does the word duck mean?
"Pike, crocodilians, herons, hawks and eagles.",S08_set1_a10,duck,hard,hard,What are some common predators of ducks?
"pike, crocodilians, and other aquatic hunters",S08_set1_a10,duck,hard,hard,What are some common predators of ducks?
"It's tongue is a flat plate, and on the tongue's back end is a short liftable flap with about 18 short spikes for pushing struggling prey and other food down its throat",S08_set1_a10,duck,hard,hard,How does a Mallard's tongue work?
It uses short spikes to push struggling prey and other food down its throat,S08_set1_a10,duck,hard,hard,How does a Mallard's tongue work?
Yes,S08_set1_a10,duck,easy,easy,Are diving ducks heavier tha dabbling ducks?
Yes,S08_set1_a10,duck,easy,easy,Are diving ducks heavier tha dabbling ducks?
Yes,S08_set1_a10,duck,easy,easy,Are adult ducks fast fliers?
Yes,S08_set1_a10,duck,easy,easy,Are adult ducks fast fliers?
Yes,S08_set1_a10,duck,easy,easy,Are ducks an accepted presence in some populated areas?
Yes,S08_set1_a10,duck,easy,easy,Are ducks an accepted presence in some populated areas?
"loons or divers, grebes, gallinules, and coots",S08_set1_a10,duck,medium,medium,What types of unrelated water birds with similar forms are ducks sometimes confused with?
"loons or divers, grebes, gallinules, and coots",S08_set1_a10,duck,medium,medium,What types of unrelated water birds with similar forms are ducks sometimes confused with?
Their inability to fly.,S08_set1_a10,duck,medium,medium,Why are ducklings particularly vulnerable?
their inability to fly makes them easy prey,S08_set1_a10,duck,medium,medium,Why are ducklings particularly vulnerable?
"Meat,eggs,feathers",S08_set1_a10,duck,medium,medium,What are some economic uses for duck?
"being farmed for their meat, eggs, feathers, (particularly their down)",S08_set1_a10,duck,medium,medium,What are some economic uses for duck?
Tiny rows of plates called lamellae,S08_set1_a10,duck,hard,hard,What allows a duck to filter water out of the side of their beaks and keep food inside?
tiny rows of plates called lamellae like a whale's baleen,S08_set1_a10,duck,hard,hard,What allows a duck to filter water out of the side of their beaks and keep food inside?
Quacks like a duck,S08_set1_a10,duck,hard,hard,What expression is part of a conceptual framework for testing computer systems?
Quacks like a duck,S08_set1_a10,duck,hard,hard,What expression is part of a conceptual framework for testing computer systems?
"In many areas, wild duckof various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",S08_set1_a10,duck,hard,hard,"Where did the expression ""a sitting duck"" come from?"
"In many areas, wild ducks of various species (including ducks farmed and released into the wild) are hunted for food or sport, by shooting, or formerly by decoys.",S08_set1_a10,duck,hard,hard,"Where did the expression ""a sitting duck"" come from?"
yes,S08_set2_a6,Egypt,easy,easy,Is Egypt bordered by the Gaza Strip?
Yes,S08_set2_a6,Egypt,medium,easy,Is Egypt bordered by the Gaza Strip?
no,S08_set2_a6,Egypt,medium,easy,Is Egypt the most populated country in Africa?
No,S08_set2_a6,Egypt,easy,easy,Is Egypt the most populated country in Africa?
yes,S08_set2_a6,Egypt,easy,easy,Does Egypt have political influence in the Middle East?
Yes,S08_set2_a6,Egypt,medium,easy,Does Egypt have political influence in the Middle East?
1967,S08_set2_a6,Egypt,easy,medium,When was the Six Day War?
1967,S08_set2_a6,Egypt,medium,medium,When was the Six Day War?
"All but Christianity, Islam, and Judaism",S08_set2_a6,Egypt,hard,medium,What religions has Egypt outlawed?
"all religions and belief except Islam, Christianity and Judaism",S08_set2_a6,Egypt,medium,medium,What religions has Egypt outlawed?
more than 78 million,S08_set2_a6,Egypt,easy,medium,What is the poulation of Egypt?
78 million people,S08_set2_a6,Egypt,hard,medium,What is the poulation of Egypt?
"the only arable agricultural land is found there,",S08_set2_a6,Egypt,medium,hard,Why does most of Egypt's population live near the Nile?
The only arable agricultural land is found there,S08_set2_a6,Egypt,hard,hard,Why does most of Egypt's population live near the Nile?
no,S08_set2_a6,Egypt,medium,hard,Are there a large number of Jews living in Egypt today?
No,S08_set2_a6,Egypt,hard,hard,Are there a large number of Jews living in Egypt today?
The New Kingdom (c.1550&#8722;1070 BC),S08_set2_a6,Egypt,hard,hard,During what period was Akhenaten a Pharaoh?
The New Kingdom,S08_set2_a6,Egypt,hard,hard,During what period was Akhenaten a Pharaoh?
No.,S08_set2_a6,Egypt,easy,easy,Is Egypt in Asia?
Yes.,S08_set2_a6,Egypt,easy,easy,Does Egypt receive the least rainfall in the world?
Yes,S08_set2_a6,Egypt,easy,easy,Does Egypt receive the least rainfall in the world?
Yes.,S08_set2_a6,Egypt,easy,easy,Does Egypt's foreign policy operates along moderate lines?
Yes,S08_set2_a6,Egypt,easy,easy,Does Egypt's foreign policy operates along moderate lines?
June 18 1953.,S08_set2_a6,Egypt,medium,medium,Since when has Egypt been a republic?
June 18 1953,S08_set2_a6,Egypt,medium,medium,Since when has Egypt been a republic?
During the Old Kingdom.,S08_set2_a6,Egypt,medium,medium,When were the Great Sphinx and the Pyramids of Giza built?
During the Old Kingdom,S08_set2_a6,Egypt,medium,medium,When were the Great Sphinx and the Pyramids of Giza built?
"Libya, Sudan, the Gaza Strip and Israel.",S08_set2_a6,Egypt,hard,medium,What countries border Egypt?
"Libya, Sudan, the Gaza Strip and Israel",S08_set2_a6,Egypt,hard,medium,What countries border Egypt?
More than 78 million.,S08_set2_a6,Egypt,hard,hard,What is the estimated population of Egypt?
78 million,S08_set2_a6,Egypt,hard,hard,What is the estimated population of Egypt?
Yes.,S08_set2_a6,Egypt,hard,hard,Does snow fall in Egypt?
Yes,S08_set2_a6,Egypt,hard,hard,Does snow fall in Egypt?
6000 BC.,S08_set2_a6,Egypt,medium,hard,When did organized agriculture appear in the Nile Valley?
About 6000 BC,S08_set2_a6,Egypt,medium,hard,When did organized agriculture appear in the Nile Valley?
yes,S08_set1_a5,elephant,easy,easy,Are elephants the largest land animals alive today?
yes,S08_set1_a5,elephant,easy,easy,Are elephants the largest land animals alive today?
yes,S08_set1_a5,elephant,hard,easy,Can an elephant kill a rhinoceros?
yes,S08_set1_a5,elephant,easy,easy,Can an elephant kill a rhinoceros?
yes,S08_set1_a5,elephant,easy,easy,Are elephants good swimmers?
yes,S08_set1_a5,elephant,easy,easy,Are elephants good swimmers?
2,S08_set1_a5,elephant,hard,medium,How many living species of African Elephants are there?
"The African Elephant genus contains two (or, arguably, three) living species.",S08_set1_a5,elephant,medium,medium,How many living species of African Elephants are there?
70 years,S08_set1_a5,elephant,medium,medium,How long may elephants live?
"As long as 70 years, sometimes longer.",S08_set1_a5,elephant,medium,medium,How long may elephants live?
it refers literally to elephants supposedly having an excellent memory,S08_set1_a5,elephant,hard,medium,Why does the phrase 'elephants never forget' have no metaphorical meaning?
Because it refers literally to elephants supposedly having an excellent memory.,S08_set1_a5,elephant,medium,medium,Why does the phrase 'elephants never forget' have no metaphorical meaning?
1,S08_set1_a5,elephant,hard,hard,How many living species of Asian Elephants are there?
one,S08_set1_a5,elephant,medium,hard,How many living species of Asian Elephants are there?
120 kilograms,S08_set1_a5,elephant,medium,hard,How much do elephants weight at birth?
At birth it is common for an elephant calf to weigh 120 kilograms (265 lb).,S08_set1_a5,elephant,medium,hard,How much do elephants weight at birth?
the beast which pasS08_seth all others in wit and mind,S08_set1_a5,elephant,hard,hard,What did Aristotle say about elephants?
"Aristotle once said the elephant was ""the beast which pasS08_seth all others in wit and mind.""",S08_set1_a5,elephant,medium,hard,What did Aristotle say about elephants?
yes,S08_set1_a5,elephant,easy,easy,Are elephant populations in West Africa generally small and fragmented?
Yes,S08_set1_a5,elephant,easy,easy,Are elephant populations in West Africa generally small and fragmented?
no,S08_set1_a5,elephant,easy,easy,Is the Asian elephant larger than the African?
Sometimes,S08_set1_a5,elephant,too hard,easy,Is the Asian elephant larger than the African?
yes,S08_set1_a5,elephant,easy,easy,Is an elephant's skin tough?
Yes,S08_set1_a5,elephant,easy,easy,Is an elephant's skin tough?
by producing and receiving low frequency sound,S08_set1_a5,elephant,medium,medium,How do elephants communicate over long distances?
By producing and receiving low-frequency sound (infrasound),S08_set1_a5,elephant,medium,medium,How do elephants communicate over long distances?
when they are sick or wounded,S08_set1_a5,elephant,medium,medium,When do African elephants lie down?
22 months,S08_set1_a5,elephant,medium,medium,How long is the elephant's gestation period?
22 months,S08_set1_a5,elephant,medium,medium,How long is the elephant's gestation period?
three,S08_set1_a5,elephant,hard,hard,How many species of African elephants have been proposed?
three,S08_set1_a5,elephant,hard,hard,How many species of African elephants have been proposed?
temperature regulation,S08_set1_a5,elephant,medium,hard,What are the elephant's ears important for?
temperature regulation,S08_set1_a5,elephant,hard,hard,What are the elephant's ears important for?
elephant,S08_set1_a5,elephant,medium,hard,What land animal has the largest brain?
The elephant,S08_set1_a5,elephant,hard,hard,What land animal has the largest brain?
yes,S08_set1_a5,elephant,easy,easy,Are elephants mammals?
Yes,S08_set1_a5,elephant,easy,easy,Are elephants mammals?
yes,S08_set1_a5,elephant,easy,easy,Have elephants been used as working animals?
Yes,S08_set1_a5,elephant,easy,easy,Have elephants been used as working animals?
Yes,S08_set1_a5,elephant,easy,easy,Do they prefer forested areas?
Yes,S08_set1_a5,elephant,easy,easy,Do they prefer forested areas?
60000,S08_set1_a5,elephant,medium,medium,What is the world population of Asian elephants?
"The world population of Asian elephants – also called Indian Elephants or Elephas maximus – is estimated to be around 60,000",S08_set1_a5,elephant,medium,medium,What is the world population of Asian elephants?
Ears,S08_set1_a5,elephant,medium,medium,What part of an elephant is very important for temperature regulation?
The large flapping ears of an elephant are also very important for temperature regulation.,S08_set1_a5,elephant,medium,medium,What part of an elephant is very important for temperature regulation?
Angola,S08_set1_a5,elephant,medium,medium,Where was the largest elephant ever recorded shot?
The largest elephant ever recorded was shot in Angola in 1956.,S08_set1_a5,elephant,medium,medium,Where was the largest elephant ever recorded shot?
yes,S08_set1_a5,elephant,hard,hard,Is an Asian elephant smaller than an African elephant?
Yes,S08_set1_a5,elephant,easy,hard,Is an Asian elephant smaller than an African elephant?
None,S08_set1_a5,elephant,hard,hard,What land animal is larger than an elephant?
"None, the elephant is the largest land animal.",S08_set1_a5,elephant,hard,hard,What land animal is larger than an elephant?
No,S08_set1_a5,elephant,hard,hard,Has tusklessness become a rare abnormality?
"No, tusklessness has become a widespread hereditary trait.",S08_set1_a5,elephant,hard,hard,Has tusklessness become a rare abnormality?
no,S08_set2_a4,Finland,easy,easy,Were the treaties signed in 1947 and 1948 with the Ukraine?
No,S08_set2_a4,Finland,easy,easy,Were the treaties signed in 1947 and 1948 with the Ukraine?
yes,S08_set2_a4,Finland,easy,easy,Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?
Yes,S08_set2_a4,Finland,easy,easy,Is Finnish a member of the Baltic-Finnic subgroup of the Uralic languages?
no,S08_set2_a4,Finland,easy,easy,Is the most read newspaper in Finland Taloussanomat?
No,S08_set2_a4,Finland,easy,easy,Is the most read newspaper in Finland Taloussanomat?
Alexander I,S08_set2_a4,Finland,hard,medium,Which Russian army general conquered Finland in 1809?
Alexander I,S08_set2_a4,Finland,medium,medium,Which Russian army general conquered Finland in 1809?
75 years,S08_set2_a4,Finland,medium,medium,What is the life expectancy for men in Finland?
75 years,S08_set2_a4,Finland,medium,medium,What is the life expectancy for men in Finland?
1952,S08_set2_a4,Finland,medium,medium,"In what year were the ""Games of the XV Olympiad"" held?"
1952,S08_set2_a4,Finland,medium,medium,"In what year were the ""Games of the XV Olympiad"" held?"
the Gulf of Finland,S08_set2_a4,Finland,hard,hard,What body of water lies to the south of Finland?
Archipelago Sea,S08_set2_a4,Finland,hard,hard,What body of water lies to the south of Finland?
"Golden Eagle, Brown Bear, or Eurasian Lynx (Change imperative to interrogative)",S08_set2_a4,Finland,hard,hard,Name an animal that is growing in number due to recent conservation efforts
Golden Eagle,S08_set2_a4,Finland,hard,hard,Name an animal that is growing in number due to recent conservation efforts
yes,S08_set2_a4,Finland,too hard,hard,"Today, are there more cell phone subscriptions than people in Finland?"
Yes,S08_set2_a4,Finland,hard,hard,"Today, are there more cell phone subscriptions than people in Finland?"
yes,S08_set2_a4,Finland,easy,easy,Is Matti Vanhanen the Prime Minister of Finland?
Yes,S08_set2_a4,Finland,easy,easy,Is Matti Vanhanen the Prime Minister of Finland?
no,S08_set2_a4,Finland,easy,easy,Is the capital city Oslo?
No,S08_set2_a4,Finland,easy,easy,Is the capital city Oslo?
yes,S08_set2_a4,Finland,medium,easy,Does it have a border with Norway?
Yes,S08_set2_a4,Finland,easy,easy,Does it have a border with Norway?
75 years,S08_set2_a4,Finland,medium,medium,What is the life expectancy for men?
75 years,S08_set2_a4,Finland,medium,medium,What is the life expectancy for men?
Greater Helsinki,S08_set2_a4,Finland,hard,medium,What is the biggest city in Finland?
the cities of the Greater Helsinki metropolitan area,S08_set2_a4,Finland,hard,medium,What is the biggest city in Finland?
CMX,S08_set2_a4,Finland,medium,medium,Who is the most popular rock group in Finland?
CMX,S08_set2_a4,Finland,hard,medium,Who is the most popular rock group in Finland?
"a highly industrialised, free-market economy",S08_set2_a4,Finland,medium,hard,What is Finland's economy like?
Northern Europe,S08_set2_a4,Finland,medium,hard,Where is Finland located?
Northern Europe,S08_set2_a4,Finland,hard,hard,Where is Finland located?
relatively warm,S08_set2_a4,Finland,medium,hard,What is the weather like in summer?
relatively warm,S08_set2_a4,Finland,medium,hard,What is the weather like in summer?
Yes,S08_set2_a4,Finland,easy,easy,Does salmon remain the favorite of fly rod enthusiasts?
Yes,S08_set2_a4,Finland,easy,easy,Does salmon remain the favorite of fly rod enthusiasts?
Yes,S08_set2_a4,Finland,easy,easy,Are there cathedrals scattered all across Finland?
Yes,S08_set2_a4,Finland,easy,easy,Are there cathedrals scattered all across Finland?
Yes,S08_set2_a4,Finland,easy,easy,"According to Reader's Digest, is Finland best for living?"
Yes,S08_set2_a4,Finland,easy,easy,"According to Reader's Digest, is Finland best for living?"
Twelfth Century,S08_set2_a4,Finland,medium,medium,When did the first verifiable written documents appear?
The first verifiable written documents appeared in the twelfth century.,S08_set2_a4,Finland,medium,medium,When did the first verifiable written documents appear?
Helsinki,S08_set2_a4,Finland,medium,medium,What is the capital city?
The capital city is Helsinki.,S08_set2_a4,Finland,medium,medium,What is the capital city?
Christmas,S08_set2_a4,Finland,medium,medium,What is the most extensively celebrated holiday?
Christmas is the most extensively celebrated holiday.,S08_set2_a4,Finland,medium,medium,What is the most extensively celebrated holiday?
No,S08_set2_a4,Finland,hard,hard,Does a large proportion of the population speak Swedish as its mother tongue?
Yes,S08_set2_a4,Finland,hard,hard,Do women live longer than men?
Yes,S08_set2_a4,Finland,hard,hard,Do women live longer than men?
None,S08_set2_a4,Finland,hard,hard,What is a country with which Finland is involved in an international conflict?
Finland is not involved in international conflicts or border disputes.,S08_set2_a4,Finland,hard,hard,What is a country with which Finland is involved in an international conflict?
,S08_set2_a4,Finland,,,What is Helsinki?
,S08_set2_a4,Finland,,,What is concentrated in the southern part of the country?
,S08_set2_a4,Finland,,,What is spoken natively by a 5.5 percent minority?
,S08_set2_a4,Finland,,,What do jari litmanen and sami hyypiä have in common?
,S08_set2_a4,Finland,,,Is it true that he composed finlandia in 1899?
,S08_set2_a4,Finland,,,Is it true that it has borders with sweden?
,S08_set2_a4,Finland,,,What did Finland join in 1995?
,S08_set2_a4,Finland,,,Is finnish culture indigenous?
,S08_set2_a4,Finland,,,Is finnish architecture famous?
,S08_set2_a4,Finland,,,What situated in Northern?
,S08_set2_a4,Finland,,,What arrived in Finland?
,S08_set2_a4,Finland,,,What ceded by Finland?
,S08_set2_a4,Finland,,,Lunch is what?
,S08_set2_a4,Finland,,,"Who is the autonomous Åland Islands , where Finnish is not compulsory due to Swedish being the sole official language of the province . ?"
,S08_set2_a4,Finland,,,The earliest people were what?
,S08_set2_a4,Finland,,,Are Various sporting events popular in Finland ?
,S08_set2_a4,Finland,,,Are all official holidays in Finland established by acts of Parliament ?
,S08_set2_a4,Finland,,,Are the people of Finland accustomed to technology and information services ?
,S08_set2_a4,Finland,,,"Was one of the most productive composers of popular music Toivo Kärki , and the most famous singer Olavi Virta -LRB- 1915 -- 1972 -RRB- ?"
,S08_set2_a4,Finland,,,Do 79 percent of the population not use the Internet ?
,S08_set2_a4,Finland,,,Did the relationship between the Grand Duchy and the Russian Empire not sour when the Russian government made moves to restrict Finnish autonomy ?
,S08_set2_a4,Finland,,,"Is finland , officially the republic of finland (`` `` republic of finland ('' '' , or (`` `` suomen tasavalta ('' '' in finnish and (`` `` republiken finland ('' '' in swedish , the long protocol name , which is not defined by the law?"
,S08_set2_a4,Finland,,,Is the capital city helsinki?
,S08_set2_a4,Finland,,,"Is finland a democratic , parliamentary republic?"
Yes,S08_set3_a10,Gerald_Ford,easy,easy,Was Ford a member of the House of Representatives?
yes,S08_set3_a10,Gerald_Ford,easy,easy,Was Ford a member of the House of Representatives?
Over eight years.,S08_set3_a10,Gerald_Ford,medium,medium,For how long was Ford a member of the House of Representatives?
Ford served for over eight years as the Republican Minority Leader of the United States House of Representatives,S08_set3_a10,Gerald_Ford,medium,medium,For how long was Ford a member of the House of Representatives?
Yes,S08_set3_a10,Gerald_Ford,easy,easy,Was Gerald Ford a member of Delta Kappa Epsilon?
Yes,S08_set3_a10,Gerald_Ford,easy,easy,Was Gerald Ford a member of Delta Kappa Epsilon?
Yes,S08_set3_a10,Gerald_Ford,easy,easy,"Did ford get an award called ""Congressman's congressman""?"
No,S08_set3_a10,Gerald_Ford,medium,easy,"Did ford get an award called ""Congressman's congressman""?"
Yes,S08_set3_a10,Gerald_Ford,easy,easy,Did ford attend the University of Michigan?
Yes,S08_set3_a10,Gerald_Ford,easy,easy,Did ford attend the University of Michigan?
Center and linebacker,S08_set3_a10,Gerald_Ford,medium,medium,What positions Ford played in the school football team?
Captain,S08_set3_a10,Gerald_Ford,hard,medium,What positions Ford played in the school football team?
He was abusive and had a history of hitting his mother.,S08_set3_a10,Gerald_Ford,medium,medium,What did Ford say about his biological father?
his biological father was abusive and had a history of hitting his mother,S08_set3_a10,Gerald_Ford,medium,medium,What did Ford say about his biological father?
Bob Dole,S08_set3_a10,Gerald_Ford,hard,medium,Who did Ford nominate for Vice President?
Nelson Rockefeller,S08_set3_a10,Gerald_Ford,medium,medium,Who did Ford nominate for Vice President?
No,,Gerald_Ford,,,Was Ford active about Vietnamese affairs?
hard,,\n,,S08_set3_a10,hard
Yes,S08_set3_a10,Gerald_Ford,too hard,hard,Was Ford active about Vietnamese affairs?
Yes,S08_set3_a10,Gerald_Ford,hard,hard,Had Ford's wife married before?
No,S08_set3_a10,Gerald_Ford,hard,hard,Had Ford's wife married before?
Yes,S08_set3_a10,Gerald_Ford,medium,hard,Is Ford related with the assassination of John F. Kennedy?
yes,S08_set3_a10,Gerald_Ford,easy,easy,Was Gerald Ford the 38th President of the United States?
yes,S08_set3_a10,Gerald_Ford,easy,easy,Was Gerald Ford the 38th President of the United States?
yes,S08_set3_a10,Gerald_Ford,easy,easy,Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?
yes,S08_set3_a10,Gerald_Ford,easy,easy,Did Gerald Ford serve as the Republican Minority Leader of the House of Representatives?
yes,S08_set3_a10,Gerald_Ford,easy,easy,Was Ford an Eagle Scout?
yes,S08_set3_a10,Gerald_Ford,easy,easy,Was Ford an Eagle Scout?
Michigan's 5th congressional district,S08_set3_a10,Gerald_Ford,medium,medium,What district was Ford elected from?
Michigan's 5th congressional district,S08_set3_a10,Gerald_Ford,medium,medium,What district was Ford elected from?
400,S08_set3_a10,Gerald_Ford,medium,medium,How many Eagle Scouts were involved in Ford's funeral procession?
About 400,S08_set3_a10,Gerald_Ford,medium,medium,How many Eagle Scouts were involved in Ford's funeral procession?
Jay Berwanger,S08_set3_a10,Gerald_Ford,hard,medium,Which future Heisman Trophy winner did Ford tackle?
Jay Berwanger,S08_set3_a10,Gerald_Ford,medium,medium,Which future Heisman Trophy winner did Ford tackle?
